iter	MAE
0	12.07457072
1	11.94325265
2	11.78999127
3	11.5687158
4	11.30129082
5	10.99466039
6	10.85179933
7	10.62425103
8	10.41840878
9	10.40789582
10	10.28911846
11	10.25644023
12	10.06497652
13	9.992431555
14	9.988911285
15	9.981959057
16	9.834756756
17	9.832890591
18	9.830281991
19	9.799511124
20	9.793820417
21	9.745762374
22	9.646900981
23	9.533889241
24	9.532951589
25	9.525648391
26	9.521175035
27	9.521051087
28	9.517754401
29	9.517206651
30	9.517143697
31	9.516562885
32	9.509657342
33	9.508636526
34	9.508459108
35	9.507901465
36	9.504029278
37	9.50359911
38	9.502357252
39	9.493032129
40	9.492583253
41	9.490467385
42	9.488680142
43	9.485655843
44	9.485418631
45	9.484847411
46	9.474396502
47	9.410920119
48	9.316623614
49	9.316550666
50	9.316493598
51	9.315187358
52	9.31421899
53	9.314216306
54	9.313958557
55	9.313837986
56	9.313561446
57	9.313542797
58	9.311405734
59	9.311286167
60	9.305965249
61	9.305266821
62	9.255875716
63	9.255740454
64	9.255434461
65	9.255189946
66	9.254552632
67	9.248939192
68	9.248648174
69	9.248575614
70	9.248349462
71	9.245923411
72	9.245810506
73	9.2456076
74	9.245420363
75	9.245376085
76	9.245256787
77	9.245106012
78	9.24419872
79	9.158465597
80	9.158135582
81	9.157909303
82	9.157729831
83	9.155486997
84	9.119718432
85	9.119499584
86	9.118941895
87	9.118784595
88	9.118284983
89	9.118199967
90	9.118090935
91	9.117986807
92	9.117761912
93	9.117703282
94	9.117614476
95	9.11666279
96	9.116506003
97	9.116267927
98	9.11351904
99	9.0781631
100	9.077932494
101	9.077621854
102	9.076552587
103	9.076408289
104	9.075915084
105	9.075786803
106	9.075540539
107	9.075507927
108	9.075387237
109	9.075273517
110	9.074459067
111	9.074246152
112	9.074069419
113	9.074003938
114	9.073934855
115	9.072875191
116	9.071713678
117	9.071653336
118	9.069414177
119	9.068392218
120	9.068365038
121	9.068356846
122	9.002821758
123	8.948373807
124	8.948309168
125	8.948281819
126	8.948162727
127	8.944971154
128	8.944800506
129	8.944791093
130	8.944423322
131	8.943160303
132	8.943033555
133	8.942767429
134	8.942697912
135	8.942613763
136	8.942569831
137	8.942547039
138	8.942522898
139	8.94222563
140	8.941867082
141	8.941765511
142	8.941574826
143	8.941556231
144	8.94146253
145	8.941274243
146	8.893927324
147	8.893918104
148	8.893856698
149	8.893772995
150	8.893715772
151	8.893667757
152	8.893663037
153	8.893623404
154	8.893523301
155	8.893241341
156	8.855612423
157	8.855541606
158	8.855112743
159	8.854826126
160	8.854716759
161	8.854672701
162	8.854647838
163	8.854605688
164	8.85451456
165	8.854377371
166	8.854055137
167	8.854004894
168	8.853987802
169	8.853901383
170	8.853439356
171	8.827994848
172	8.827800962
173	8.827690775
174	8.827635497
175	8.82762198
176	8.82762157
177	8.827617486
178	8.826689908
179	8.826592434
180	8.826589387
181	8.826548763
182	8.826534974
183	8.785187632
184	8.785097969
185	8.785080123
186	8.782526773
187	8.779758819
188	8.779006951
189	8.778750375
190	8.766292428
191	8.76625714
192	8.76624408
193	8.76620707
194	8.766172922
195	8.765792303
196	8.765645489
197	8.76562693
198	8.76562215
199	8.765431611
200	8.765429199
201	8.765346067
202	8.765297931
203	8.765257112
204	8.741483776
205	8.741463964
206	8.741355505
207	8.741256392
208	8.741204067
209	8.741190236
210	8.741170125
211	8.741025944
212	8.740972554
213	8.740877541
214	8.740811374
215	8.740809191
216	8.740800885
217	8.74080008
218	8.740797292
219	8.740723537
220	8.740650758
221	8.711713129
222	8.711696239
223	8.711688377
224	8.71154944
225	8.711405854
226	8.711383294
227	8.7112892
228	8.711280316
229	8.711267647
230	8.711237124
231	8.701413971
232	8.701355119
233	8.697510891
234	8.697391791
235	8.697388378
236	8.674375263
237	8.674372361
238	8.674299492
239	8.674297078
240	8.674211293
241	8.674200433
242	8.674194743
243	8.674183642
244	8.674167982
245	8.674138453
246	8.674083372
247	8.674077926
248	8.659745765
249	8.659702744
250	8.659693321
251	8.659657763
252	8.659591497
253	8.65956326
254	8.659500579
255	8.659477452
256	8.659452774
257	8.659432929
258	8.659355885
259	8.659351576
260	8.659321818
261	8.659049395
262	8.659030396
263	8.657847823
264	8.657843707
265	8.657815646
266	8.63623156
267	8.636137057
268	8.636038305
269	8.621157351
270	8.604222209
271	8.604219559
272	8.604204109
273	8.604184429
274	8.603692858
275	8.603673253
276	8.603648091
277	8.601633394
278	8.601618602
279	8.601618602
280	8.601599496
281	8.601537289
282	8.601531596
283	8.601514531
284	8.601511041
285	8.601504228
286	8.601493087
287	8.601482948
288	8.601480298
289	8.601479388
290	8.595901447
291	8.595901084
292	8.593789349
293	8.593787944
294	8.593773652
295	8.593755323
296	8.593742137
297	8.593736904
298	8.593734435
299	8.593643375
