iter	Passed	Remaining
0	2173	1736721
1	5513	2199706
2	8958	2379999
3	10713	2131992
4	12170	1935068
5	13408	1774433
6	14887	1686553
7	16525	1636047
8	18004	1582411
9	19520	1542091
10	20795	1491578
11	22143	1454065
12	23507	1423104
13	24867	1396127
14	26219	1372174
15	27640	1354395
16	29076	1339213
17	32927	1430520
18	34509	1418534
19	35810	1396594
20	37149	1378060
21	38149	1349101
22	39224	1325109
23	40512	1309906
24	42017	1302547
25	43330	1289908
26	44730	1280618
27	46071	1270263
28	47545	1264062
29	48889	1254818
30	50140	1243818
31	51329	1231903
32	52947	1230622
33	54235	1221891
34	55344	1209668
35	56505	1199164
36	57981	1195669
37	59115	1185415
38	60427	1179112
39	61584	1170097
40	62943	1165214
41	64458	1163318
42	65737	1157282
43	66851	1148632
44	68101	1142586
45	69399	1137546
46	70656	1132007
47	71849	1125647
48	72944	1117988
49	74138	1112073
50	75326	1106267
51	76479	1100127
52	77632	1094177
53	78841	1089185
54	80101	1085016
55	81342	1080699
56	82687	1077833
57	83864	1072883
58	85065	1068369
59	86338	1064845
60	87523	1060321
61	88673	1055497
62	89921	1051937
63	91113	1047801
64	92136	1041848
65	93463	1039423
66	94592	1034872
67	95847	1031773
68	97095	1028644
69	98244	1024548
70	99477	1021400
71	100432	1015481
72	101599	1011823
73	102726	1007830
74	103829	1003689
75	104997	1000236
76	106191	997095
77	107442	994530
78	108687	991945
79	109878	988902
80	111355	988454
81	112567	985652
82	113769	982803
83	115169	981684
84	116334	978577
85	117723	977381
86	119010	975339
87	120359	973816
88	121763	972740
89	123024	970523
90	124420	969382
91	125789	968029
92	127098	966219
93	128490	965044
94	129822	963416
95	131282	962734
96	132510	960360
97	133769	958224
98	135039	956187
99	136372	954608
100	137676	952827
101	138860	950239
102	140200	948735
103	141661	948040
104	143089	947114
105	144392	945358
106	145781	944170
107	146953	941591
108	148516	941511
109	150309	942849
110	151840	942507
111	153727	944328
112	155077	942816
113	156371	940974
114	157906	940570
115	159347	939598
116	161144	940700
117	162414	938701
118	163852	937674
119	165163	935926
120	166430	933934
121	167735	932171
122	169055	930492
123	170410	929010
124	171729	927340
125	173023	925539
126	174263	923457
127	175457	921152
128	176516	918158
129	177879	916761
130	179535	916865
131	180896	915445
132	182144	913461
133	183508	912066
134	184902	910818
135	186269	909432
136	187725	908479
137	188783	905611
138	190001	903534
139	191227	901502
140	192300	898767
141	193684	897494
142	194763	894822
143	196203	893817
144	197383	891628
145	198498	889165
146	199470	886082
147	200643	883914
148	201666	881105
149	202809	878839
150	204063	877065
151	205270	875100
152	206606	873688
153	207608	870877
154	208939	869459
155	210236	867898
156	211201	864984
157	212568	863727
158	213763	861775
159	215098	860395
160	216507	859305
161	217622	857057
162	218836	855205
163	220145	853735
164	221356	851886
165	222637	850315
166	224045	849227
167	225434	848064
168	226390	845279
169	227351	842536
170	228498	840499
171	229689	838631
172	230845	836648
173	231878	834231
174	232985	832091
175	234009	829670
176	234795	826427
177	235564	823151
178	236627	820925
179	238022	819854
180	239164	817917
181	240338	816093
182	241502	814246
183	242688	812480
184	244022	811209
185	245225	809507
186	246467	807938
187	247619	806081
188	248787	804282
189	249968	802528
190	251059	800497
191	252165	798523
192	253282	796594
193	254495	794969
194	255664	793214
195	256835	791473
196	257765	788997
197	258942	787290
198	260036	785336
199	261204	783612
200	262152	781241
201	263447	779907
202	264614	778199
203	265586	775929
204	266561	773679
205	267709	771939
206	269017	770663
207	270167	768937
208	271194	766871
209	272425	765385
210	273319	762961
211	274577	761564
212	275821	760127
213	277088	758756
214	278221	757022
215	279760	756388
216	280850	754544
217	281976	752798
218	283192	751301
219	284200	749256
220	285397	747714
221	286446	745794
222	287614	744186
223	288373	741532
224	289413	739611
225	290498	737815
226	291479	735761
227	292614	734102
228	293591	732055
229	294573	730030
230	295283	727343
231	296357	725565
232	297464	723873
233	298596	722245
234	299703	720563
235	300660	718526
236	301392	715966
237	302444	714176
238	303607	712652
239	304686	710935
240	305898	709533
241	307018	707918
242	308053	706115
243	309267	704724
244	310418	703191
245	311684	701923
246	312802	700322
247	313817	698496
248	314887	696799
249	315971	695137
250	316951	693253
251	318083	691705
252	319003	689703
253	320040	687962
254	321194	686473
255	322258	684800
256	323346	683178
257	324440	681577
258	325464	679832
259	326568	678258
260	327540	676414
261	328578	674715
262	329591	672967
263	330775	671573
264	331845	669952
265	332868	668239
266	333915	666579
267	334952	664905
268	335916	663091
269	337104	661723
270	338072	659926
271	339066	658187
272	340139	656606
273	341192	654989
274	342431	653732
275	343626	652391
276	344813	651037
277	345839	649381
278	347109	648187
279	348172	646606
280	349062	644710
281	350091	643075
282	351119	641444
283	352145	639813
284	353167	638179
285	354187	636546
286	355309	635100
287	356332	633480
288	357328	631815
289	358371	630239
290	359496	628810
291	360579	627308
292	361648	625787
293	362687	624217
294	363535	622323
295	364565	620747
296	365420	618877
297	366466	617337
298	367269	615391
299	368390	613983
